date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:11:49	47405/47405	---M--	200	added ('OK')	text/html	date:Fri,%2029%20May%202026%2005:11:48%20GMT	https://sap.universidadean.edu.co:8450/apps?sap-language=ES	sap.universidadean.edu.co_8450/appse312.html	(from )
01:11:50	9240/9240	---M--	404	error ('Not%20found')	text/html	date:Fri,%2029%20May%202026%2005:11:49%20GMT	https://sap.universidadean.edu.co:8450/robots.txt		(from )
01:11:50	11502/11502	---M-Z	200	added ('OK')	image/ico	date:Mon,%2023%20Sep%202013%2017:06:47%20GMT	https://sap.universidadean.edu.co:8450/sap/public/bc/ui2/logon/img/favicon.ico	sap.universidadean.edu.co_8450/sap/public/bc/ui2/logon/img/favicon.ico	(from https://sap.universidadean.edu.co:8450/apps?sap-language=ES)
01:11:51	2328/2328	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202016%2011:41:29%20GMT	https://sap.universidadean.edu.co:8450/sap/public/bc/ui2/logon/themes-v1/sap_bluecrystal/library.css	sap.universidadean.edu.co_8450/sap/public/bc/ui2/logon/themes-v1/sap_bluecrystal/library.css	(from https://sap.universidadean.edu.co:8450/apps?sap-language=ES)
01:11:53	844707/844707	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Aug%202024%2022:51:56%20GMT	https://sap.universidadean.edu.co:8450/sap/public/bc/ui2/logon/img/bg_u.jpg	sap.universidadean.edu.co_8450/sap/public/bc/ui2/logon/img/bg_u.jpg	(from https://sap.universidadean.edu.co:8450/apps?sap-language=ES)
01:11:53	27547/27547	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2005%20Mar%202018%2013:56:40%20GMT	https://sap.universidadean.edu.co:8450/sap/public/bc/ui2/logon/login.js	sap.universidadean.edu.co_8450/sap/public/bc/ui2/logon/login.js	(from https://sap.universidadean.edu.co:8450/apps?sap-language=ES)
01:11:54	44776/44776	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Aug%202024%2003:04:33%20GMT	https://sap.universidadean.edu.co:8450/sap/public/bc/ui2/logon/img/logoEAN.png	sap.universidadean.edu.co_8450/sap/public/bc/ui2/logon/img/logoEAN.png	(from https://sap.universidadean.edu.co:8450/apps?sap-language=ES)
01:11:55	9240/9240	---M--	404	error ('Not%20found')	text/html	date:Fri,%2029%20May%202026%2005:11:55%20GMT	https://sap.universidadean.edu.co:8450/url	sap.universidadean.edu.co_8450/url	(from https://sap.universidadean.edu.co:8450/sap/public/bc/ui2/logon/login.js)
01:11:56	9240/9240	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20May%202026%2005:11:56%20GMT	https://sap.universidadean.edu.co:8450/form.action	sap.universidadean.edu.co_8450/form.action	(from https://sap.universidadean.edu.co:8450/sap/public/bc/ui2/logon/login.js)
01:11:58	9240/9240	---M--	404	error ('Not%20found')	text/html	date:Fri,%2029%20May%202026%2005:11:57%20GMT	https://sap.universidadean.edu.co:8450/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	sap.universidadean.edu.co_8450/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from https://sap.universidadean.edu.co:8450/sap/public/bc/ui2/logon/login.js)
